entity_id,tx_cnt,amt_mean,amt_median,amt_std,amt_skew,amt_kurt,amt_q025,amt_q05,amt_q95,amt_q975,ref_count,ref_vol,acq_curr_differs,uniq_curr,loc_cur_ratio,dates_spread,uniq_days,holiday_ratio,weekend_ratio,uniq_pans_ratio,non_loc_pans_ratio,tx_online_ratio,vol_chg_q2,vol_chg_q3,vol_chg_q4,ref_pct,ref_vol_pct,vel_purch_cnt,vel_purch_vol,vel_ref_cnt,vel_ref_vol,num_outlets
EID-6423,31865,11.274423034677525,9.61,6.642120412242018,11.544503221304682,296.36001878799357,6.54,6.63,20.62,24.777999999999956,0.0,0.0,0.0,1,1.0,323,223,0.0,0.0006276478895339715,0.3953867880119253,0.09551850395452399,0.0,0.15251592079083376,-0.03217627645981325,-0.4892175739289928,0.0,0.0,98.6532507739938,1112.2584829721343,0.0,0.0,2
EID-6426,1373,6.913714493809185,5.14,4.227402249429918,2.8665061928574436,13.72649165541366,2.73,3.672,14.665999999999995,18.937,0.0,0.0,0.0,1,1.0,312,268,0.01529497450837582,0.1755280407865987,0.6387472687545521,0.09768986631684096,0.0,0.027595087619920022,-0.32165245817575805,-0.42391027034177775,0.0,0.0,4.4006410256410255,30.42477564102568,0.0,0.0,1
EID-6431,26486,8.112449596013054,7.17,4.813566506604666,2.8224942587927226,21.00610687072559,2.56,3.63,17.1375,20.8875,0.0,0.0,0.0,1,1.0,281,281,0.01921769991693725,0.17239296231971607,0.3803896398097108,0.03158080850134504,0.0,1.0066816609652682,0.07907385954008772,-0.3528954098950341,0.0,0.0,94.25622775800711,764.6488967971592,0.0,0.0,1
EID-6432,161,23.248198757763966,21.28,14.39175214698504,1.750158008050149,4.572236315655664,4.03,4.42,48.7,65.02,0.0,0.0,0.0,1,1.0,172,97,0.08695652173913043,0.453416149068323,0.8571428571428571,0.045600092589020425,0.0,0.1649121995234022,0.0,0.0,0.0,0.0,0.936046511627907,21.7613953488372,0.0,0.0,4
EID-6437,5857,10.480670991975392,7.82,12.720254729083848,11.660644762804594,213.467986685124,4.05,4.21,22.962,32.54399999999984,0.0,0.0,0.0,1,1.0,279,192,0.0,0.0,0.4176199419498037,0.06408133825440543,0.0,1.3115942414930002,0.21361844439631184,-0.26694255003372147,0.0,0.0,20.99283154121864,220.01896057347625,0.0,0.0,1
EID-6449,11747,4.532789648420923,3.99,2.5146287389609903,3.2947715279816423,26.015942144620183,1.84,2.18,9.266999999999989,11.053500000000005,0.0,0.0,0.0,1,1.0,208,203,0.044692261854090407,0.3594960415425215,0.4794415595471184,0.09103455403711092,0.0,-0.12435027516995967,0.7862524132291415,-0.35573087352806176,0.0,0.0,56.47596153846154,255.9936538461567,0.0,0.0,3
EID-6453,22741,4.429991205311751,3.64,3.983523180608033,22.797053099461586,958.3956014773768,1.81,1.82,8.81,10.754999999999999,0.0,0.0,0.0,1,1.0,211,145,0.0,0.0,0.21727276724858186,0.09036107627868895,0.0,0.6848664825696129,0.7725465895354258,-0.3968512606725044,0.0,0.0,107.77725118483413,477.4522748814906,0.0,0.0,1
EID-6455,8082,7.804257609502576,5.32,6.044906004427047,4.172850152550932,52.903209814998355,2.2,2.6405000000000003,19.429499999999997,24.03949999999999,0.0,0.0,0.0,1,1.0,224,224,0.030190546894333085,0.18955704033655035,0.3802276664192032,0.0680056150515127,0.0,-0.26101726351833565,0.30317953559491917,-0.43123021486008906,0.0,0.0,36.080357142857146,281.5804017857135,0.0,0.0,1
EID-6464,8966,7.686020521971895,6.95,5.905903451042097,14.03366712516189,390.13046454835353,2.54,4.04,14.557500000000001,18.048750000000002,0.0,0.0,0.0,1,1.0,208,204,0.008811064019629711,0.16183359357573054,0.3830024537140308,0.10486394458476467,0.00022306491188935982,0.15024882036614984,0.6517789257660436,-0.243486477695659,0.0,0.0,43.10576923076923,331.311826923077,0.0,0.0,1
EID-6484,9939,8.927234128181887,7.22,8.774660704757585,18.961054262645238,646.5893451535203,3.97,4.06,19.192000000000007,23.226499999999977,0.0,0.0,0.0,1,1.0,329,328,0.030989033101921724,0.21843243787101319,0.4544722809135728,0.07301729401345392,0.00010061374383740819,0.11528363756192084,0.05016626019903181,-0.3956880932119661,0.0,0.0,30.209726443768997,269.6893009118534,0.0,0.0,1
EID-6485,20836,8.409287771165307,7.15,5.543474426094903,5.9052054544921315,140.51698018558537,1.91,2.29,18.36,21.5,0.0,0.0,0.0,1,1.0,329,328,0.03210789019005567,0.4207141485889806,0.4298809752351699,0.055179598558706355,4.799385678633135e-05,0.030195808436704885,0.012522625924857866,-0.36693903824416996,0.0,0.0,63.33130699088146,532.5711854103354,0.0,0.0,1
EID-6495,3863,7.585922857882499,5.87,3.999767758826738,3.6995679830297243,31.293005812055394,5.0455,5.06,15.13,17.804499999999997,0.0,0.0,0.0,1,1.0,137,137,0.06238674605229096,0.470359823971007,0.6836655449132798,0.22464664567279713,0.0002588661661920787,0.0,-0.48959237207435014,-0.14730321542982283,0.0,0.0,28.197080291970803,213.90087591240948,0.0,0.0,2
EID-6499,26506,4.966856183505533,3.68,4.813751510419498,14.658250960711342,511.93435902052755,1.31,1.45,12.0175,15.18375,0.0,0.0,0.0,1,1.0,125,121,0.0078095525541386854,0.07590734173394703,0.17196106541915038,0.11197433126604694,0.0,0.0,4.142927579751149,-0.10201855574831264,0.0,0.0,212.048,1053.2119199999813,0.0,0.0,2
EID-6508,18725,5.321323364485862,3.68,16.404052366806443,76.56924536962553,6748.997344195731,1.72,1.83,11.297999999999993,15.43,0.0,0.0,0.0,1,1.0,82,82,0.01041388518024032,0.0957543391188251,0.21495327102803738,0.08970477557081002,5.34045393858478e-05,0.0,-0.6409712118988802,2.4556495500159827,0.0,0.0,228.35365853658536,1215.1436585365582,0.0,0.0,2
EID-6517,3772,3.595196182396564,3.06,2.6916579417571427,8.529581372084891,184.77959392222968,1.18,1.32,7.59,9.71725,0.0,0.0,0.0,1,1.0,43,30,0.0,0.0,0.21367974549310711,0.14767889814888735,0.0,0.0,0.0,-0.8245173706203354,0.0,0.0,87.72093023255815,315.3739534883684,0.0,0.0,1
